timestamp,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4
0.1406,18.36,13.32,7.16,-1.11,2.33,3.23,-6.74,4.01,-1.17,1.55,6.89,5.68,7.11,-4.30
0.1484,16.99,5.18,0.53,-5.86,-2.12,-3.15,-3.97,-5.11,1.08,0.75,2.22,5.35,-3.22,-11.04
0.1563,-2.01,-7.84,-18.54,-13.73,-6.16,-5.95,-3.66,-5.32,6.27,3.40,6.31,0.36,-3.96,-10.13
0.1641,-16.69,-25.88,-20.18,-15.67,2.21,2.70,4.12,7.05,12.88,8.80,1.66,0.48,-9.99,-16.43
0.1719,-28.79,-23.61,-10.82,-3.71,4.33,10.39,11.38,6.74,14.07,7.36,-5.41,-10.12,-12.74,-23.23
0.1797,-17.40,-7.92,0.98,17.21,18.78,16.23,13.16,5.41,7.09,-3.03,-15.74,-18.14,-27.64,-24.97
0.1875,-6.06,9.27,19.90,29.48,22.77,15.18,8.73,-0.45,-13.51,-19.94,-25.78,-26.30,-29.36,-21.97
0.1953,4.55,22.10,24.60,26.95,14.03,5.92,-9.08,-14.42,-25.27,-33.69,-27.78,-29.22,-17.43,-7.05
0.2031,8.06,17.89,19.19,19.95,3.19,-5.21,-17.02,-21.76,-28.34,-27.13,-21.72,-12.25,-7.03,-3.36
0.2109,11.55,13.45,15.95,12.00,-2.88,-13.64,-20.02,-23.95,-26.19,-19.30,-9.12,-0.50,7.21,18.24
0.2188,17.59,17.88,17.46,3.70,-2.85,-13.01,-19.35,-20.04,-22.02,-12.99,0.37,9.01,15.13,16.42
0.2266,24.31,21.05,13.95,3.81,-5.90,-13.66,-13.89,-17.71,-17.77,-4.07,5.79,10.73,14.35,7.88
0.2344,28.30,24.15,9.75,-6.55,-11.37,-18.37,-17.66,-16.82,-12.24,-0.51,4.54,7.54,2.91,-2.35
0.2422,22.46,6.55,-6.03,-17.36,-23.58,-25.09,-19.90,-16.93,-0.66,0.48,10.40,8.11,3.89,-9.17
0.2500,8.87,-6.44,-28.61,-35.27,-23.46,-26.59,-21.35,-4.58,8.23,17.14,17.77,9.99,1.41,-9.00
0.2578,-14.06,-26.90,-36.59,-33.30,-20.11,-18.22,-8.62,5.32,18.66,20.87,14.05,5.73,-3.63,-16.87
0.2656,-20.27,-29.79,-24.45,-20.67,-14.96,-1.85,2.92,15.02,21.26,18.80,10.57,-6.20,-17.12,-28.79
0.2734,-14.21,-16.47,-11.64,-2.15,-2.65,1.90,7.60,13.24,17.15,8.10,-5.26,-25.43,-41.91,-32.99
0.2813,-9.68,-9.41,-5.15,3.54,-1.30,8.72,6.44,5.31,-0.12,-10.27,-37.65,-31.86,-47.26,-26.51
0.2891,-7.56,-6.54,0.18,1.09,-3.50,2.34,1.09,-8.07,-11.68,-23.69,-31.38,-32.27,-23.68,-11.47
0.2969,-8.60,-8.25,-7.34,1.83,-0.67,-6.26,-7.70,-5.92,-20.49,-23.67,-25.34,-21.75,-13.33,6.69
0.3047,-8.87,-5.93,-0.32,-2.50,-5.32,-0.57,-1.64,-10.23,-18.45,-22.17,-17.30,-11.21,3.38,11.52
0.3125,-3.40,1.86,4.74,6.46,2.71,-1.16,-1.22,-6.70,-17.21,-17.37,-9.10,-3.85,6.38,17.22
0.3203,10.49,15.64,7.42,8.47,-2.84,-1.91,-11.20,-13.07,-19.67,-18.23,-7.48,-0.44,8.31,17.50
0.3281,15.72,15.23,6.06,-5.10,-6.42,-10.59,-16.10,-13.57,-17.54,-11.14,-4.85,9.73,12.01,22.62
0.3359,11.65,-1.71,-14.00,-19.34,-17.11,-15.03,-17.21,-16.14,-10.70,-4.69,6.54,18.78,9.78,21.13
0.3438,-4.59,-17.53,-28.93,-36.22,-24.70,-16.99,-14.33,-9.23,2.04,11.99,16.06,20.73,21.98,16.08
0.3516,-22.79,-35.86,-38.49,-32.92,-13.57,-9.68,-2.33,4.82,11.05,21.01,18.53,23.19,17.92,8.31
0.3594,-29.78,-33.09,-27.90,-21.72,-6.69,0.53,8.63,7.76,18.28,18.89,13.88,9.02,1.91,-3.56
0.3672,-27.59,-21.86,-16.86,-3.49,6.68,10.32,11.78,11.05,17.00,6.51,6.74,-4.42,-20.60,-15.92
0.3750,-25.07,-19.10,-4.88,5.47,2.50,8.19,2.90,1.26,1.85,-5.86,-11.50,-13.02,-17.63,-11.39
0.3828,-20.28,-18.94,-3.60,6.23,6.96,1.20,2.95,-4.21,-6.63,-7.00,-9.30,-8.26,-7.61,1.26
0.3906,-22.43,-13.04,-0.46,3.21,4.56,-0.11,-2.15,-6.11,-8.03,-9.42,-11.45,-2.70,0.38,11.39
0.3984,-19.09,-8.48,10.68,14.56,9.70,7.32,2.77,-3.86,-12.59,-5.86,-5.67,-1.81,8.74,13.20
0.4063,-6.00,14.02,20.43,24.09,10.79,3.62,-1.69,-2.08,-12.10,-6.14,-0.63,4.06,14.35,16.43
0.4141,18.38,25.67,29.32,21.48,21.02,0.27,-8.88,-7.86,-14.94,-8.91,-3.90,9.23,13.37,26.26
0.4219,25.63,16.93,22.46,9.07,-2.79,-10.54,-14.25,-14.71,-16.36,-7.76,9.00,14.82,23.92,18.03
0.4297,23.14,10.64,-0.52,-13.94,-17.14,-21.14,-20.70,-13.07,-3.75,7.43,23.61,27.57,31.77,23.73
0.4375,9.71,-0.55,-15.58,-28.21,-22.97,-19.41,-15.55,0.70,8.40,22.69,32.12,31.69,28.82,23.62
0.4453,-7.47,-8.67,-21.12,-27.33,-15.02,-7.70,1.80,10.64,27.13,35.49,40.60,29.04,21.24,8.81
0.4531,-3.46,-8.28,-13.46,-15.98,-4.32,2.24,11.63,17.56,32.66,32.44,34.53,18.39,7.09,-6.88
0.4609,-5.16,-11.23,-9.32,-5.54,-4.35,1.13,17.08,16.57,33.17,30.93,19.02,1.24,-13.98,-22.50
0.4688,-4.93,-12.87,-14.42,-11.31,-2.31,5.24,16.70,21.23,28.32,14.76,8.73,-6.56,-19.96,-32.70
0.4766,-18.48,-18.15,-20.01,-8.13,3.72,6.61,17.08,16.27,20.90,8.67,-4.10,-13.31,-18.15,-11.04
0.4844,-26.09,-20.29,-13.82,0.65,5.70,14.37,19.78,15.68,16.82,3.17,-0.78,-12.58,-8.92,-8.97
0.4922,-19.31,-11.93,3.27,14.24,14.34,17.19,23.37,30.99,10.80,-3.32,-20.76,-11.32,-7.72,1.90
0.5000,2.64,10.18,17.86,29.02,22.26,19.81,22.63,10.57,-0.14,-6.38,-16.72,-16.25,-7.14,-0.76
0.5078,16.99,23.03,30.27,27.26,18.66,12.92,13.78,6.58,-10.50,-12.82,-12.29,-10.10,3.01,7.94
0.5156,24.53,27.84,20.09,14.32,7.95,1.60,1.25,-5.07,-19.92,-15.41,-8.56,1.68,8.40,18.69
0.5234,28.98,17.21,5.89,-4.28,-0.04,-3.61,-5.05,-9.06,-13.59,-2.00,1.51,12.30,19.87,25.87
0.5313,9.83,4.81,-4.80,-9.52,-6.48,-1.35,-0.07,-2.04,-1.67,10.51,17.92,21.52,29.97,29.64
0.5391,0.94,1.88,-5.69,-5.55,3.24,2.72,4.68,8.35,10.22,15.73,21.53,22.29,24.99,17.51
0.5469,8.71,-2.76,-0.31,1.73,7.56,6.43,14.20,16.26,19.11,18.81,17.98,15.62,8.24,-2.34
0.5547,3.07,-4.00,-1.26,-0.58,5.34,9.12,15.32,10.81,17.09,3.24,9.87,1.64,-5.64,-12.85
0.5625,-7.26,-12.97,-5.77,-3.59,3.43,9.80,6.58,8.04,16.20,13.21,2.24,2.07,-6.97,-15.59
0.5703,-17.65,-18.72,-12.04,-6.17,9.91,12.93,9.87,6.70,13.66,10.08,2.71,-2.36,-9.41,-12.14
0.5781,-22.21,-15.36,-4.51,8.12,14.99,15.72,17.82,10.35,11.18,5.72,-0.20,-7.84,-13.38,-14.99
0.5859,-18.47,-2.80,10.87,23.70,24.27,25.04,22.07,14.55,8.86,-3.94,-11.68,-14.75,-13.13,-14.82
0.5938,-0.23,22.65,30.58,38.22,28.47,18.00,14.95,3.48,-8.46,-19.22,-22.67,-20.77,-14.24,-9.74
0.6016,22.19,28.91,35.75,37.98,24.67,7.52,0.31,-8.58,-20.13,-23.43,-20.55,-18.19,-11.34,0.76
0.6094,23.97,29.93,36.05,25.74,7.94,-1.01,-14.52,-15.47,-29.81,-25.65,-13.57,-2.64,11.37,7.24
0.6172,26.58,22.48,24.69,10.49,2.47,-10.15,-18.46,-15.57,-16.99,-13.54,-0.13,13.41,19.86,21.12
0.6250,20.39,19.11,10.71,2.98,-0.89,-13.98,-11.71,-12.20,-9.88,-0.74,9.45,16.14,17.82,16.64
0.6328,26.30,22.67,10.19,-0.52,-0.22,-4.30,-10.09,-1.79,5.06,15.32,20.85,19.97,10.20,6.28
0.6406,27.04,21.66,10.81,-2.61,-5.68,-9.58,-4.90,-1.87,8.85,18.17,12.42,14.24,0.50,-8.80
0.6484,24.74,14.64,2.74,-12.11,-11.64,-14.96,-3.41,2.79,6.96,18.07,9.16,6.53,-7.01,-20.68
0.6563,5.01,-3.27,-16.01,-23.45,-12.94,-13.51,-6.77,7.86,18.62,18.22,5.90,-3.11,-13.99,-23.58
0.6641,-6.24,-22.95,-23.97,-24.88,-10.97,-1.50,5.77,13.61,17.72,20.29,5.02,-8.82,-14.41,-27.68
0.6719,-18.41,-22.49,-22.48,-7.80,-2.82,2.91,14.69,17.98,23.77,9.84,-4.41,-12.18,-28.29,-30.17
0.6797,-11.89,-9.36,-0.95,8.25,9.71,14.89,13.82,18.75,11.15,-4.72,-18.54,-25.14,-36.58,-31.65
0.6875,-2.82,7.76,9.38,17.64,14.90,12.78,11.28,7.43,-7.05,-14.59,-30.57,-33.78,-37.20,-29.20
0.6953,8.83,15.97,20.36,15.37,9.50,4.35,3.19,-6.28,-19.05,-28.14,-42.07,-37.54,-26.23,-14.30
0.7031,6.62,10.48,12.19,7.19,4.74,-4.47,-3.36,-12.07,-23.51,-31.88,-27.42,-28.06,-15.19,1.95
0.7109,18.92,10.32,4.52,4.81,-0.05,-7.65,-5.63,-11.69,-27.77,-25.19,-21.67,-7.68,3.65,10.98
0.7188,6.71,9.16,4.29,4.35,-4.07,-7.21,-7.51,-11.28,-20.72,-18.73,-12.98,0.42,12.68,19.46
0.7266,13.88,17.31,6.10,2.54,0.53,-3.15,-11.27,-11.62,-13.24,-8.71,-7.38,4.85,8.16,8.15
0.7344,21.34,13.74,6.93,0.60,-9.66,-11.15,-7.75,-15.81,-9.96,-11.31,-1.85,0.01,9.55,2.63
0.7422,10.77,3.93,-6.75,-14.47,-10.96,-13.57,-17.58,-15.75,-6.42,-1.40,2.02,2.10,9.43,3.53
0.7500,-6.58,-21.27,-22.86,-28.06,-16.85,-16.26,-15.38,-12.08,1.00,5.75,8.15,4.38,8.48,-3.17
0.7578,-26.38,-28.98,-34.62,-27.06,-10.83,-10.91,-0.12,2.62,6.03,13.03,12.96,6.29,-1.79,-3.98
0.7656,-28.23,-28.14,-24.33,-14.25,-4.01,1.00,3.18,9.73,11.52,12.22,2.01,-5.42,-8.02,-18.33
0.7734,-27.79,-17.77,-11.91,1.96,6.65,10.74,11.61,8.21,17.16,-0.56,-13.43,-18.68,-18.78,-22.12
0.7813,-16.14,-5.87,2.87,15.87,11.80,5.93,4.83,-2.36,-8.59,-14.43,-21.48,-28.45,-27.45,-19.39
0.7891,-6.86,0.97,5.21,9.67,4.09,0.80,-10.08,-14.45,-22.69,-22.54,-24.81,-20.91,-13.81,-4.18
0.7969,-13.06,0.75,3.18,5.12,3.93,-8.82,-15.17,-17.68,-19.78,-22.90,-23.70,-9.20,0.74,11.73
0.8047,-4.47,5.03,4.63,4.81,1.86,-6.53,-13.40,-15.08,-27.81,-15.86,-11.04,-3.79,12.84,17.57
0.8125,4.76,12.81,12.10,21.23,1.54,-8.27,-12.53,-16.35,-20.30,-13.47,-4.71,6.40,18.79,17.11
0.8203,19.91,21.76,18.02,7.54,-3.27,-15.29,-15.50,-14.83,-16.00,-12.22,3.74,7.06,16.68,6.92
0.8281,26.46,21.73,9.22,-4.57,-10.26,-19.14,-24.78,-19.73,-12.94,-3.31,4.00,11.62,12.99,16.09
0.8359,20.19,4.58,-5.05,-25.35,-11.76,-26.30,-22.99,-16.74,-5.84,7.16,18.21,16.99,22.57,12.18
0.8438,1.89,-14.08,-25.83,-38.08,-29.87,-31.14,-19.38,-4.38,10.44,23.64,25.96,24.18,22.62,13.08
0.8516,-16.36,-29.21,-34.35,-33.51,-26.35,-19.93,-7.77,6.15,25.43,31.32,32.91,18.62,9.50,1.70
0.8594,-18.76,-27.48,-31.70,-25.35,-15.29,-4.62,6.09,14.08,31.85,30.09,24.54,9.75,-7.71,-11.21
0.8672,-17.16,-16.41,-15.67,-12.68,-7.91,6.10,7.58,19.04,23.91,16.64,9.08,-4.88,-20.58,-24.04
0.8750,-12.21,-14.23,-14.86,-9.22,-0.06,5.12,7.57,14.24,11.06,0.70,-6.96,-17.59,-21.55,-23.55
0.8828,-22.02,-16.63,-9.86,-8.05,-0.59,1.79,4.89,8.61,6.31,-4.51,-14.03,-17.11,-22.20,-8.65
0.8906,-20.98,-16.98,-9.47,-6.12,-1.23,3.62,2.09,2.05,1.20,-7.21,-16.89,-17.97,-4.76,2.49
0.8984,-20.14,-12.66,-6.23,6.88,3.84,8.38,9.38,5.70,-3.93,-11.80,-13.27,-8.72,0.29,14.07
0.9063,-6.11,3.75,11.45,13.84,12.13,11.89,8.53,4.88,-7.29,-12.48,-11.45,-8.00,7.46,20.43
0.9141,14.97,15.68,19.50,20.05,10.15,8.81,-1.92,-6.46,-14.31,-17.32,-9.46,3.36,10.17,23.07
0.9219,23.26,20.97,13.19,4.12,-5.18,-5.07,-8.85,-6.50,-12.79,-13.42,-0.24,8.17,21.09,26.24
0.9297,11.04,1.59,-1.97,-10.35,-8.95,-7.88,-7.41,-15.80,-9.79,-3.82,12.04,19.37,26.78,40.64
0.9375,-4.15,-11.43,-20.19,-21.24,-14.96,-6.61,-2.33,1.89,5.30,16.95,27.08,26.77,34.43,30.01
0.9453,-11.56,-19.82,-25.60,-22.05,-9.34,0.37,6.58,9.90,22.24,26.88,26.26,26.11,27.20,15.98
0.9531,-11.62,-17.32,-19.23,-12.75,-0.12,4.95,12.51,18.70,25.40,23.27,28.07,19.24,12.17,3.77
0.9609,-13.82,-15.87,-11.61,-4.75,10.17,15.69,11.23,17.65,25.56,17.96,8.72,9.00,0.44,-12.08
0.9688,-20.10,-17.41,-10.94,2.61,10.14,10.64,8.38,6.73,12.45,8.56,6.69,-2.11,-11.57,-12.49
0.9766,-23.84,-23.37,-7.54,-1.12,6.96,8.93,9.93,6.87,9.67,0.22,2.37,-4.26,-5.93,-7.47
0.9844,-32.84,-16.04,-3.37,10.99,14.00,14.54,12.54,11.58,3.59,1.40,-5.19,-1.80,-2.66,-0.42
0.9922,-17.42,-5.02,15.75,24.68,22.38,20.38,16.71,9.82,0.87,0.71,-7.78,-3.69,0.68,0.48
1.0000,0.66,17.75,26.52,38.40,21.30,19.28,7.27,7.84,-9.44,-12.94,-7.81,-6.79,5.31,8.39
1.0078,20.96,33.55,41.11,39.11,15.00,6.95,-3.21,-2.38,-15.67,-10.66,-11.18,-2.17,5.27,10.31
1.0156,27.53,37.68,28.31,20.67,8.31,-6.36,-12.12,-14.33,-15.18,-9.17,1.66,12.91,13.28,19.82
1.0234,28.23,21.87,17.62,4.66,-7.22,-10.15,-15.13,-13.89,-8.39,4.24,14.00,21.50,28.27,28.20
1.0313,14.43,11.39,1.73,-9.19,-7.51,-9.11,-7.45,-4.32,3.01,17.25,27.01,35.30,31.26,23.02
1.0391,13.49,8.22,3.28,-4.33,-2.51,-8.63,-2.33,7.36,15.78,28.29,35.41,26.62,20.15,2.87
1.0469,13.35,6.25,-2.99,-8.69,-1.27,0.37,8.60,15.44,22.87,26.27,25.15,16.11,2.53,-7.61
1.0547,12.89,7.52,0.90,-6.75,-4.94,3.02,8.14,15.08,29.37,25.95,17.19,2.07,-6.75,-20.15
1.0625,0.60,-6.40,-9.63,-10.38,-0.93,2.03,8.18,12.29,20.80,29.09,9.25,-0.15,-14.07,-22.10
1.0703,-9.53,-15.98,-18.81,-15.86,-0.82,5.79,11.81,17.07,20.73,15.54,2.40,-8.20,-19.22,-18.93
1.0781,-19.38,-14.66,-15.33,0.00,7.21,11.97,20.51,20.82,23.06,13.71,-2.10,-16.16,-17.55,-20.52
1.0859,-10.90,-1.55,5.03,16.42,15.04,26.15,25.94,19.03,15.58,-2.11,-11.38,-23.89,-22.45,-21.91
1.0938,4.13,11.91,21.73,28.59,25.58,26.06,22.67,13.41,1.93,-14.73,-22.20,-27.87,-27.81,-12.23
1.1016,21.88,21.76,28.03,31.31,21.32,18.93,9.70,-0.43,-17.75,-24.18,-25.60,-27.52,-19.77,-4.78
1.1094,23.92,24.61,26.04,19.52,12.86,8.23,-1.98,-9.53,-25.12,-24.06,-23.23,-12.88,-3.05,6.17
1.1172,21.20,16.94,7.89,5.75,-1.07,-4.70,-6.41,-6.49,-20.55,-19.89,-6.29,3.04,15.29,18.88
1.1250,17.79,9.33,3.99,-3.00,-0.92,-1.65,-4.46,-0.62,-9.09,-5.75,4.04,11.78,21.41,21.53
1.1328,19.93,8.16,2.73,-1.95,0.19,2.96,-0.63,0.66,-4.49,7.97,10.95,15.14,11.18,11.72
1.1406,18.60,11.54,3.33,4.25,5.42,-0.16,4.56,-0.26,-0.57,2.14,8.66,6.34,1.00,0.42
1.1484,16.07,2.77,-1.94,-7.34,-2.97,-0.09,-2.84,-1.77,0.43,7.86,1.72,5.07,-2.79,-8.87
1.1563,-1.90,-9.03,-19.67,-14.55,-4.73,-5.03,-2.30,-0.51,6.67,5.56,20.82,-0.10,-7.11,-15.22
1.1641,-15.86,-26.14,-25.90,-14.82,1.31,-0.71,2.88,3.58,22.55,4.14,-0.58,0.50,-8.49,-18.85
1.1719,-27.18,-25.01,-15.94,-0.39,9.32,12.16,8.92,5.87,13.98,7.73,-3.15,-6.68,-13.62,-17.96
1.1797,-18.32,-6.44,0.90,13.55,14.17,19.31,15.11,10.50,-0.74,-8.79,-18.86,-18.52,-24.08,-27.47
1.1875,-0.15,10.89,23.81,28.31,19.98,13.84,5.09,-0.77,-12.23,-24.35,-29.28,-26.09,-23.46,-18.63
1.1953,11.89,19.39,27.37,30.03,14.23,6.97,-2.83,-15.19,-27.93,-32.54,-32.12,-25.30,-17.76,-9.43
1.2031,13.52,15.62,23.81,16.99,7.58,-5.67,-19.66,-18.64,-33.83,-33.92,-27.62,-15.96,-7.90,7.73
1.2109,7.07,18.37,19.52,8.71,0.91,-15.36,-18.32,-21.00,-30.07,-20.62,-13.35,3.22,9.54,14.86
1.2188,17.70,19.09,12.88,7.96,-2.83,-9.08,-16.58,-18.46,-22.58,-12.64,-2.39,6.17,15.89,15.46
1.2266,22.75,20.36,18.71,8.98,-6.30,-15.07,-15.59,-12.12,-16.41,-5.49,6.78,12.74,15.06,10.52
1.2344,30.38,25.45,7.83,-2.45,-16.57,-17.18,-20.50,-12.90,-8.32,2.55,7.84,10.32,4.33,0.92
1.2422,23.37,14.29,-2.35,-21.09,-25.55,-24.27,-19.51,-18.35,-4.70,7.92,7.83,8.38,3.45,-4.80
1.2500,8.44,-8.50,-26.71,-32.86,-28.76,-24.49,-20.31,-7.28,7.89,13.78,16.61,9.01,1.32,-7.08
1.2578,-10.41,-24.02,-36.62,-38.47,-19.47,-16.68,-7.29,-0.52,17.39,21.76,13.80,9.00,-7.99,-12.50
1.2656,-22.85,-24.25,-28.91,-21.83,-10.82,-4.52,2.34,12.34,19.47,15.55,7.01,-8.99,-16.12,-25.80
1.2734,-15.63,-19.72,-15.55,-3.39,-5.21,0.94,9.13,12.76,17.45,5.29,-8.90,-24.42,-29.95,-33.08
1.2813,-11.97,-7.21,-5.54,2.59,1.82,8.02,9.97,0.86,0.06,-12.97,-22.45,-34.74,-32.63,-28.25
1.2891,-8.29,-4.45,-1.84,2.46,0.32,3.76,-2.22,-2.13,-11.48,-21.48,-30.54,-30.93,-26.30,-9.46
1.2969,-9.81,-4.07,-1.37,-2.00,-4.80,-6.47,-7.19,-8.89,-15.57,-22.41,-22.79,-24.41,-11.03,5.77
1.3047,-12.11,-5.69,-3.45,3.38,-7.41,-6.18,-3.93,-9.39,-20.98,-23.00,-17.17,-7.34,2.33,13.91
1.3125,3.31,3.45,3.03,6.82,-1.41,0.62,-1.83,-9.46,-21.79,-14.80,-12.57,-0.17,12.64,21.47
1.3203,15.13,15.07,14.62,4.70,-4.36,-2.73,-9.05,-14.13,-17.63,-16.87,-4.95,0.48,12.91,17.02
1.3281,14.27,5.42,1.99,-6.04,-11.69,-7.97,-13.68,-15.97,-20.56,-12.46,-0.38,5.50,14.56,18.92
1.3359,10.87,-14.19,-15.93,-22.10,-15.28,-21.42,-16.92,-19.41,-14.42,-0.11,10.09,17.23,16.64,16.82
1.3438,-11.51,-22.71,-30.43,-36.91,-20.29,-21.30,-5.37,-11.58,3.86,12.73,14.88,18.73,25.30,14.49
1.3516,-24.97,-35.94,-34.29,-34.52,-13.19,-10.27,-2.10,4.37,14.15,17.98,21.60,17.37,19.07,12.59
1.3594,-27.91,-32.37,-23.59,-17.73,-7.28,0.02,11.44,7.72,16.43,18.19,19.58,7.38,-0.47,-1.09
1.3672,-22.37,-22.03,-16.29,-5.15,4.39,11.17,13.01,5.65,16.44,5.83,5.66,-2.69,-6.31,-13.62
1.3750,-23.99,-15.88,-5.97,0.80,3.72,9.62,6.47,2.74,6.74,-3.99,-6.17,-8.46,-12.57,-15.99
1.3828,-24.87,-18.33,-6.64,-0.04,2.51,6.12,3.41,-4.98,-4.30,-9.45,-14.52,-8.64,-10.46,-1.90
1.3906,-29.17,-14.37,-4.97,2.45,3.27,5.14,-6.62,-4.31,-10.12,-8.97,-16.49,-7.25,0.27,6.54
1.3984,-23.71,-7.49,10.51,15.77,9.35,5.11,-3.88,-5.67,-9.35,-8.47,-3.04,3.26,11.61,13.43
1.4063,-6.20,10.19,21.52,26.37,8.38,0.70,-2.12,-1.74,-15.52,-12.70,-3.90,7.69,11.62,15.73
1.4141,19.66,28.90,29.12,26.27,9.00,-0.46,-10.23,-9.30,-14.65,-11.37,2.39,6.30,16.39,17.83
1.4219,24.11,30.65,20.63,12.07,-6.19,-16.74,-20.00,-19.44,-16.11,10.24,10.46,21.15,19.25,26.29
1.4297,21.18,12.75,-1.08,-13.07,-19.74,-19.53,-18.88,-9.68,-8.93,4.48,18.34,31.48,30.91,28.34
1.4375,2.30,-0.42,-18.24,-21.80,-18.20,-18.41,-10.26,-0.88,11.44,20.90,35.10,36.51,29.34,21.37
1.4453,-7.00,-11.19,-19.44,-28.27,-18.77,-10.01,-2.19,13.90,23.40,38.79,37.08,34.99,23.15,5.80
1.4531,-1.36,-14.47,-13.01,-16.18,-6.04,3.26,11.72,20.57,33.91,35.96,29.33,18.60,4.91,-10.72
1.4609,-5.32,-12.51,-10.26,-11.30,-3.46,3.31,15.33,20.50,28.85,31.19,20.36,4.67,-6.52,-21.94
1.4688,-8.47,-11.81,-10.83,-12.35,-4.25,4.61,14.51,17.57,27.99,16.27,2.45,-7.50,-19.98,-20.52
1.4766,-18.26,-19.18,-19.43,-8.79,2.00,6.07,16.45,15.20,20.21,12.64,-1.25,-14.62,-14.11,-14.68
1.4844,-22.37,-17.44,-8.49,-13.67,8.89,12.68,18.27,21.28,16.01,3.75,-3.83,-7.95,-9.49,-4.59
1.4922,-17.12,-7.01,1.09,11.68,12.20,20.14,22.00,22.28,13.34,2.55,-6.51,-13.89,-9.99,1.87
1.5000,1.07,7.98,19.04,28.99,23.49,23.87,19.44,17.11,-0.63,-6.84,-15.45,-10.10,-5.47,3.64
1.5078,16.13,26.54,25.88,30.49,16.28,13.84,7.33,5.85,-11.00,-15.13,-13.11,-7.68,-1.02,12.33
1.5156,23.48,23.07,20.06,18.49,5.70,3.41,-1.07,-7.05,-13.29,-16.93,-8.38,-2.89,13.52,18.68
1.5234,18.89,13.44,4.38,1.45,1.64,-4.35,-2.80,-4.68,-8.88,-5.78,2.02,11.08,23.06,12.27
1.5313,6.37,0.46,-5.58,-12.21,-2.33,-0.90,-1.90,-0.06,2.61,9.14,18.78,23.92,31.85,25.36
1.5391,6.67,1.70,-8.91,-7.70,4.04,7.82,8.26,6.70,11.28,23.17,26.69,23.66,23.14,17.39
1.5469,3.54,3.65,1.33,-2.24,2.87,5.87,11.31,10.03,20.94,17.37,23.51,17.83,12.11,-1.47
1.5547,0.36,1.94,-0.04,-3.59,6.04,12.36,10.05,8.06,15.03,17.22,12.44,2.30,-6.27,-7.84
1.5625,-2.16,-2.47,-6.65,-3.99,4.45,8.31,6.37,9.37,12.25,10.02,7.61,1.25,-6.24,-12.04
1.5703,-21.48,-19.89,-16.67,-4.99,9.95,12.32,14.65,8.14,15.51,11.98,-1.90,-3.07,-10.94,-16.45
1.5781,-28.65,-15.03,-8.01,7.71,12.50,18.76,13.25,11.45,13.36,8.55,-1.25,-10.10,-13.60,-13.59
1.5859,-13.09,0.03,13.93,23.99,22.46,26.04,17.77,14.58,5.98,-6.25,-8.24,-12.97,-11.66,-25.04
