time,AF3,F7,F3,FC5,T7,P7,O1
0.516,63.249,59.216,59.045,64.894,64.896,64.185,62.493
0.523,63.744,62.375,65.031,64.286,63.694,62.128,61.898
0.531,60.764,60.040,59.931,58.393,60.042,56.977,55.610
0.539,52.366,53.155,54.139,55.707,57.616,56.985,52.686
0.547,50.917,52.638,52.605,50.766,53.424,53.693,51.113
0.555,52.543,52.625,53.520,50.546,52.973,53.741,50.009
0.562,48.488,49.956,49.950,47.578,45.825,47.928,47.313
0.570,42.165,44.795,46.426,44.282,45.405,42.196,45.601
0.578,39.961,42.121,38.463,37.949,41.896,40.701,38.140
0.586,41.300,43.794,44.389,42.483,40.538,44.411,39.055
0.594,51.584,51.658,51.245,48.963,52.761,53.225,51.319
0.602,61.363,63.956,59.744,63.224,65.278,63.080,64.862
0.609,71.983,73.548,75.318,71.832,72.736,72.707,75.062
0.617,79.821,76.997,77.253,76.865,77.958,75.605,77.458
0.625,76.552,73.345,75.078,72.722,74.171,76.207,75.872
0.633,70.934,67.374,68.972,66.936,65.800,69.342,69.704
0.641,64.465,61.542,64.744,62.652,61.507,63.071,61.884
0.648,60.490,61.267,57.449,59.139,60.832,59.890,59.070
0.656,56.774,54.152,57.869,52.434,55.008,52.962,53.094
0.664,51.839,49.340,50.971,50.347,49.015,52.199,48.453
0.672,42.967,41.655,40.199,40.734,40.618,42.565,43.439
0.680,39.061,37.338,38.680,36.983,38.906,39.276,36.965
0.688,41.122,38.327,40.777,39.369,39.595,39.691,38.307
0.695,48.443,42.435,42.257,47.008,49.184,47.098,43.929
0.703,55.024,56.848,56.876,58.869,58.184,54.500,58.058
0.711,61.006,62.285,64.006,61.861,62.701,62.615,66.275
0.719,64.482,62.422,66.502,64.174,66.181,66.321,62.267
0.727,55.906,59.100,60.779,58.196,58.895,61.022,61.648
0.734,50.177,50.161,52.008,51.492,51.615,48.417,52.148
0.742,44.540,42.828,41.498,42.867,43.192,46.741,41.721
0.750,38.307,37.464,38.941,35.882,39.471,40.306,40.445
0.758,35.180,31.295,32.647,35.484,33.047,35.430,32.615
0.766,29.267,27.922,28.080,24.637,26.016,24.318,27.374
0.773,19.684,18.535,17.946,21.081,19.737,17.737,19.995
0.781,14.119,16.186,14.756,14.746,13.716,15.815,13.045
0.789,14.078,13.572,15.242,13.209,15.348,16.146,16.518
0.797,23.148,24.552,25.629,27.246,23.077,24.880,25.383
0.805,32.076,33.907,33.036,34.254,36.371,36.461,33.203
0.812,42.833,42.787,43.113,40.253,40.093,39.348,38.970
0.820,40.651,39.394,40.820,40.192,38.965,40.446,42.887
0.828,34.211,33.946,33.496,33.629,35.991,36.836,34.733
0.836,28.489,29.731,25.464,25.967,25.784,28.513,26.237
0.844,25.379,22.367,21.220,21.150,24.273,24.545,22.710
0.852,20.911,21.223,22.250,16.793,18.006,20.390,21.291
0.859,14.398,15.794,17.138,17.592,14.363,14.125,17.434
0.867,12.538,10.351,8.436,8.338,10.105,9.602,12.272
0.875,2.340,3.123,5.554,3.940,3.694,5.129,5.207
0.883,0.826,5.446,0.715,4.271,0.955,2.106,3.420
0.891,5.536,7.338,8.188,6.981,9.501,9.517,10.589
0.898,21.337,19.556,20.702,20.151,21.374,19.562,19.667
0.906,30.643,29.947,35.411,32.273,33.935,31.824,32.303
0.914,39.934,39.588,38.343,38.767,38.190,39.796,37.650
0.922,38.706,38.681,38.096,38.970,40.768,38.126,42.226
0.930,35.545,38.460,35.269,35.299,36.938,37.286,37.319
0.938,32.187,32.786,33.682,31.044,31.728,31.560,30.982
0.945,26.599,31.200,28.307,29.021,29.389,31.744,28.469
0.953,30.673,28.640,30.787,29.120,29.247,27.482,27.406
0.961,25.736,28.882,24.214,26.518,28.089,28.067,26.041
0.969,20.770,24.957,24.685,23.899,23.003,22.535,25.323
0.977,19.057,17.987,21.092,16.622,19.987,19.612,17.908
0.984,19.788,22.200,19.315,20.002,20.678,21.216,19.806
0.992,29.661,26.585,30.141,28.595,30.768,25.782,25.576
1.000,40.436,41.655,40.250,39.401,43.163,41.463,39.916
1.008,56.327,55.066,57.628,53.536,56.201,54.927,56.252
1.016,61.543,63.702,63.311,60.879,64.638,61.466,65.546
1.023,62.857,62.324,63.181,60.682,63.330,60.329,65.659
1.031,57.929,55.996,58.794,56.134,58.990,56.285,57.198
1.039,55.023,52.360,55.504,55.468,54.207,54.135,53.989
1.047,52.717,54.097,51.978,50.170,52.533,50.516,49.755
1.055,51.960,52.275,50.623,52.687,50.479,53.008,48.903
1.062,48.798,47.930,47.586,49.716,49.254,48.717,49.883
1.070,44.505,43.401,41.727,46.442,42.381,44.636,42.312
1.078,41.390,41.154,40.163,42.776,39.414,40.054,40.997
1.086,43.522,43.429,41.924,40.472,41.260,42.810,44.238
1.094,49.131,51.369,49.337,50.099,51.163,48.699,50.753
1.102,65.092,64.373,64.093,63.877,60.729,61.198,61.697
1.109,72.633,75.479,74.620,72.439,73.898,75.132,74.572
1.117,77.455,78.022,78.887,76.530,75.791,76.611,76.312
1.125,76.122,76.280,76.401,74.577,74.238,76.274,72.741
1.133,67.477,68.949,66.191,65.975,69.394,69.899,66.615
1.141,62.855,60.535,60.636,64.007,64.132,59.384,60.953
1.148,59.703,55.974,57.141,61.799,56.982,57.087,59.216
1.156,53.385,56.314,57.527,53.640,56.624,56.203,56.206
1.164,51.067,48.449,51.974,50.099,52.593,48.070,51.329
1.172,42.473,44.435,44.519,45.698,44.327,43.028,44.275
1.180,36.237,38.667,35.986,36.189,36.896,40.540,36.389
1.188,36.949,39.383,36.601,38.740,40.607,38.249,37.242
1.195,46.165,47.168,45.330,46.495,47.331,44.909,47.702
1.203,55.803,57.816,56.417,55.043,54.475,56.731,55.269
1.211,63.120,65.382,63.457,65.539,64.825,65.832,64.344
1.219,66.398,64.782,62.775,67.361,64.307,62.716,66.322
1.227,60.609,57.321,56.556,58.106,60.170,59.259,58.939
1.234,49.859,49.370,48.381,48.821,52.586,49.753,52.181
1.242,41.177,41.889,45.661,45.870,45.608,43.033,40.201
1.250,38.055,37.393,37.967,37.468,36.118,38.671,39.800
1.258,32.964,34.916,33.262,33.528,33.452,33.165,33.571
1.266,24.121,26.043,27.366,26.871,28.548,24.715,24.712
1.273,20.904,18.180,18.497,21.026,20.613,20.974,18.186
1.281,12.509,16.300,16.152,11.418,15.961,14.049,15.149
1.289,15.206,14.201,18.061,18.686,14.196,16.772,14.416
1.297,26.655,22.221,25.536,24.523,22.340,23.027,24.249
1.305,35.728,32.238,34.971,36.221,35.371,33.626,36.586
1.312,41.995,41.764,40.103,42.098,39.307,44.337,38.870
1.320,41.706,38.997,42.591,43.073,40.834,43.432,43.024
1.328,36.786,37.608,35.716,33.493,36.516,33.553,33.567
1.336,28.687,26.765,27.387,27.804,25.990,29.603,26.542
1.344,22.512,21.434,21.340,22.295,25.071,21.508,24.138
1.352,17.867,21.158,18.194,17.784,20.688,21.367,21.897
1.359,18.691,16.606,16.483,17.150,18.814,15.319,15.184
1.367,10.835,9.411,8.388,10.403,10.186,11.517,10.763
1.375,4.899,5.998,5.871,2.204,6.719,2.989,5.743
1.383,0.989,2.222,3.462,3.276,1.454,1.664,1.766
1.391,8.912,9.244,8.398,10.295,6.089,8.047,6.807
1.398,20.869,17.378,20.465,19.077,19.437,18.540,20.350
1.406,31.439,30.416,31.508,30.356,32.939,31.441,33.981
1.414,41.784,37.471,41.457,37.752,41.424,39.046,42.254
1.422,41.430,39.058,40.101,42.165,39.393,40.044,39.952
1.430,36.176,37.751,34.314,35.462,35.562,35.483,35.140
1.438,31.080,28.931,32.899,30.347,33.714,32.851,32.368
1.445,26.624,28.619,31.578,29.057,30.914,29.390,28.914
1.453,28.732,28.541,26.672,30.547,25.123,27.624,27.132
1.461,24.190,27.648,25.936,27.601,25.943,27.500,28.548
1.469,21.961,20.155,22.839,23.464,22.994,21.851,21.095
1.477,18.482,18.442,18.431,19.879,18.553,18.804,19.257
1.484,18.391,21.569,19.717,22.470,20.851,20.634,19.928
1.492,29.019,28.408,29.924,31.136,29.076,29.968,31.216
1.500,42.299,40.396,40.841,41.589,45.491,41.342,41.563
1.508,55.282,52.858,56.524,53.294,53.980,57.016,57.605
1.516,59.330,62.686,62.165,62.352,62.848,60.990,61.225
1.523,60.967,62.032,63.555,61.504,61.900,64.098,64.087
1.531,57.778,60.438,56.374,58.567,61.568,55.833,56.810
1.539,52.529,54.030,52.689,54.076,54.074,56.445,53.941
1.547,50.664,52.770,53.769,50.385,50.573,50.174,55.065
1.555,54.007,50.270,54.185,48.366,50.835,52.283,53.493
1.562,46.687,50.026,48.306,49.896,47.316,51.035,47.710
1.570,43.600,44.477,44.575,42.005,44.780,44.865,43.498
1.578,41.073,38.856,40.420,41.131,37.742,41.351,41.939
1.586,43.726,43.404,41.721,40.453,42.301,41.765,39.867
1.594,51.525,50.508,51.701,51.494,51.549,50.439,49.005
1.602,60.513,63.097,64.669,59.877,61.841,61.196,64.946
1.609,74.607,71.017,74.653,73.866,74.900,74.234,72.517
1.617,75.620,78.578,78.420,77.873,76.374,79.688,78.399
1.625,76.105,74.596,74.629,73.532,76.026,73.576,74.512
1.633,68.045,69.136,68.671,68.224,67.344,66.628,69.037
1.641,64.135,60.831,62.976,63.331,62.507,62.861,64.515
1.648,59.636,59.009,60.181,57.917,57.815,60.094,59.041
1.656,53.426,56.351,56.080,54.598,56.276,56.494,54.400
1.664,47.772,52.561,52.407,49.360,51.318,51.895,50.969
1.672,43.819,41.524,43.946,44.402,41.585,45.646,44.163
1.680,35.898,35.354,39.620,36.511,38.159,36.484,39.553
1.688,38.492,40.286,39.025,35.515,37.153,36.342,40.142
1.695,43.331,45.086,45.067,45.310,44.228,44.046,44.072
1.703,56.185,57.567,56.589,56.524,54.747,57.080,54.870
1.711,64.065,63.926,64.618,63.302,65.253,60.783,63.784
1.719,63.209,66.646,64.059,65.730,62.694,63.585,62.217
1.727,59.303,59.532,60.126,56.402,56.559,59.682,57.043
1.734,49.493,50.974,50.600,49.472,52.131,48.756,49.556
1.742,42.817,43.772,41.919,42.060,42.353,42.605,42.297
1.750,40.473,39.579,40.979,36.802,36.522,36.644,37.817
1.758,31.525,34.443,35.278,32.893,34.059,32.330,35.266
1.766,25.741,25.448,24.298,27.165,29.041,27.500,25.536
1.773,17.591,17.722,18.374,17.713,21.880,17.943,17.241
1.781,13.718,14.766,12.230,11.871,14.310,15.849,13.695
1.789,14.754,13.097,14.475,16.280,16.906,18.549,16.732
1.797,26.501,23.033,24.712,25.139,21.545,25.687,25.178
1.805,35.120,35.548,32.222,36.737,32.644,32.315,33.595
1.812,41.752,41.279,39.899,43.205,43.713,40.621,40.880
1.820,40.732,39.235,40.941,41.506,39.367,42.421,38.621
1.828,36.938,34.635,37.098,37.559,35.217,36.924,36.159
1.836,26.823,28.398,28.506,28.532,28.966,30.083,27.522
1.844,25.628,23.192,24.467,25.686,24.776,23.689,23.062
1.852,18.937,18.672,17.411,21.610,19.319,19.745,22.734
1.859,17.844,14.852,14.120,14.620,16.580,16.755,16.772
1.867,12.209,11.085,8.494,11.922,10.924,11.158,12.009
1.875,3.851,5.926,6.749,3.528,6.260,2.707,6.078
1.883,2.461,2.476,3.689,1.781,2.384,5.763,2.493
1.891,9.996,9.039,9.397,9.303,10.010,5.768,7.769
1.898,20.923,17.879,20.414,19.246,19.553,20.691,19.982
1.906,31.211,29.362,34.645,34.801,33.772,34.900,31.780
1.914,40.474,39.705,41.928,41.010,36.783,38.647,39.967
1.922,38.321,39.757,37.893,39.344,41.646,41.631,40.959
1.930,34.393,39.057,35.249,34.777,37.973,33.178,37.363
1.938,34.154,29.929,29.351,30.211,32.051,32.828,30.436
1.945,29.929,31.162,29.408,26.635,29.210,26.598,30.391
1.953,29.501,29.881,29.511,27.564,29.624,26.764,29.434
1.961,27.008,27.730,26.357,27.865,26.557,28.146,23.593
1.969,21.296,25.194,20.964,23.570,25.412,24.645,21.111
1.977,16.776,18.527,18.255,20.169,20.581,17.038,18.914
1.984,21.937,22.105,18.724,20.657,18.675,20.528,18.401
1.992,29.828,27.555,27.555,27.232,28.631,29.151,27.833
2.000,43.856,43.789,44.782,43.022,40.375,42.522,42.301
2.008,53.100,51.572,56.273,52.659,53.548,55.168,57.506
2.016,61.103,64.327,61.576,61.818,62.029,64.884,62.897
2.023,62.445,63.270,62.200,63.642,58.978,60.743,60.993
2.031,60.387,58.127,57.909,59.821,55.888,55.816,59.815
2.039,55.049,55.749,55.113,54.653,53.821,56.863,54.410
2.047,54.520,50.508,51.428,53.536,51.573,53.069,51.130
2.055,54.564,52.775,50.330,52.078,52.197,52.450,49.158
2.062,50.107,48.470,45.823,50.724,49.549,49.626,49.615
2.070,44.728,41.746,44.271,44.727,46.483,44.325,45.734
2.078,40.112,37.943,39.929,38.711,38.043,39.768,41.274
2.086,44.281,43.535,42.636,41.989,41.564,43.703,39.703
2.094,48.125,51.417,52.592,48.578,49.689,53.414,48.326
2.102,60.415,63.147,61.883,60.983,63.001,62.141,60.306
2.109,76.160,72.403,74.459,72.500,75.449,75.549,73.706
2.117,80.072,77.705,79.106,76.183,78.428,76.478,75.603
2.125,76.003,74.030,72.863,74.644,73.818,72.881,73.378
2.133,68.317,67.164,70.969,68.695,65.800,68.614,70.890
2.141,63.898,63.792,60.936,62.945,61.617,62.016,64.031
2.148,61.024,57.791,61.398,59.109,59.047,61.093,56.243
2.156,56.734,54.840,56.779,53.613,56.415,55.327,57.706
2.164,52.457,48.453,52.080,47.377,48.508,49.697,51.022
2.172,40.489,40.689,43.126,41.668,43.854,40.393,44.304
2.180,37.649,36.247,36.737,39.332,35.392,38.630,38.458
2.188,36.805,40.411,40.801,36.637,39.440,36.753,38.979
2.195,45.981,46.999,46.741,43.014,44.585,45.461,48.058
2.203,57.143,56.783,54.660,54.974,59.081,58.075,54.134
2.211,60.040,64.560,61.028,61.699,61.548,63.275,63.268
2.219,62.761,65.558,66.494,64.799,64.673,66.522,63.744
2.227,56.612,58.374,56.453,58.626,57.932,56.135,57.334
2.234,49.052,50.066,52.583,49.762,52.557,52.148,48.678
2.242,42.422,45.235,43.047,42.423,41.411,44.451,43.069
2.250,41.213,38.516,37.922,37.568,37.948,38.101,36.203
2.258,32.368,30.634,34.599,30.731,35.861,34.041,33.502
2.266,25.363,25.948,24.917,25.846,24.856,25.537,26.588
2.273,18.057,20.982,19.569,21.219,18.073,21.125,19.315
2.281,14.811,14.535,13.359,14.011,16.179,16.891,12.524
2.289,14.431,13.569,17.759,18.820,17.541,15.667,14.019
2.297,21.792,21.973,21.301,24.340,28.029,21.553,25.602
2.305,34.642,37.180,33.507,32.750,37.333,32.742,34.675
2.312,41.717,41.983,42.652,39.125,41.873,39.770,39.820
2.320,39.968,39.885,39.851,40.598,39.685,41.693,38.411
2.328,32.482,34.314,33.728,34.857,37.634,37.813,35.195
2.336,27.669,27.068,28.002,30.223,28.122,28.617,26.528
2.344,20.285,25.650,24.123,22.608,20.839,20.366,23.637
2.352,18.228,18.523,19.577,17.906,19.733,20.719,20.663
2.359,18.048,17.172,15.679,13.769,17.576,14.109,14.392
2.367,12.111,9.719,9.332,13.054,11.292,10.836,9.648
2.375,3.653,3.482,2.523,4.951,4.892,6.424,3.170
2.383,1.428,3.284,4.842,4.507,3.180,0.938,1.842
2.391,6.317,9.219,9.113,7.768,9.026,9.191,9.243
2.398,18.652,18.745,17.376,17.718,19.458,20.805,18.226
2.406,33.430,31.721,31.811,32.279,32.453,32.884,32.575
2.414,37.572,37.424,37.611,39.559,40.839,41.060,40.207
2.422,39.536,39.797,42.657,40.409,42.678,39.077,40.652
2.430,34.644,38.665,38.316,37.574,38.357,35.482,33.748
2.438,28.768,31.665,29.005,31.064,32.329,30.170,34.035
2.445,29.939,28.840,30.456,30.104,30.649,28.754,28.870
2.453,29.026,28.215,25.929,28.031,28.074,29.427,28.882
2.461,26.770,24.597,25.409,23.950,27.420,27.679,25.904
2.469,23.059,19.949,24.992,23.599,24.147,23.962,21.936
2.477,18.554,20.350,18.081,17.440,17.827,18.889,17.602
2.484,22.088,18.691,21.789,17.498,18.963,19.777,18.823
2.492,30.111,30.164,25.401,27.962,29.483,30.548,32.097
2.500,42.291,42.293,42.795,42.208,43.328,43.497,40.704
2.508,56.038,54.866,58.460,57.321,55.788,56.271,53.312
2.516,61.035,62.490,60.911,63.399,63.529,64.845,64.189
2.523,63.126,61.459,63.673,62.168,64.903,61.409,59.983
2.531,61.080,59.688,61.293,59.407,58.647,60.423,60.287
2.539,51.190,52.674,53.335,52.614,54.565,52.221,54.656
2.547,52.951,52.093,52.905,54.027,50.617,50.582,50.749
2.555,50.659,51.422,48.897,53.694,50.337,50.804,49.314
2.562,49.718,47.822,50.038,49.967,47.711,49.740,47.384
2.570,42.340,43.284,43.157,44.724,45.868,44.123,43.357
2.578,38.968,38.637,40.874,38.252,40.099,41.559,42.788
2.586,40.128,43.641,43.151,43.437,40.933,43.926,40.502
2.594,50.963,48.924,50.438,48.946,49.966,51.035,48.022
2.602,60.680,60.903,63.475,63.527,60.544,63.517,63.738
2.609,71.897,72.513,74.147,73.667,72.100,75.760,74.022
2.617,75.299,76.629,77.327,79.275,76.524,78.505,78.391
2.625,73.081,74.331,73.190,74.807,74.784,76.588,74.136
2.633,67.016,70.137,67.473,69.321,68.077,68.123,68.138
2.641,64.843,63.819,61.782,62.886,61.409,62.364,64.315
2.648,58.462,59.980,56.200,58.027,57.534,60.624,58.406
2.656,53.059,53.302,53.299,52.951,54.895,54.332,56.092
2.664,47.595,48.517,49.621,52.153,52.592,50.379,50.267
2.672,43.334,40.507,42.438,43.207,41.935,43.095,43.796
2.680,35.672,35.283,35.695,38.783,37.235,36.533,34.981
2.688,35.416,40.896,38.240,39.652,38.855,35.294,39.332
2.695,48.243,42.711,45.603,43.581,46.897,44.114,47.242
2.703,55.216,55.517,54.182,55.783,53.161,56.962,56.187
2.711,64.944,65.234,66.330,65.036,64.012,60.238,61.042
2.719,63.202,62.321,65.257,65.588,62.082,64.584,62.143
2.727,60.406,58.334,60.005,57.210,58.604,56.002,55.883
2.734,48.935,51.484,51.948,52.585,51.000,48.405,50.680
2.742,44.090,42.818,42.788,42.363,43.525,43.657,41.104
2.750,41.467,40.021,41.098,38.111,38.461,40.251,39.943
2.758,35.288,34.941,35.942,33.306,32.154,34.847,31.296
2.766,28.124,27.180,25.320,26.141,27.617,28.035,29.151
2.773,19.812,18.085,21.324,17.509,20.530,20.755,17.826
2.781,14.540,13.159,11.484,15.615,12.480,12.202,13.594
2.789,15.268,15.758,15.394,15.551,16.416,17.814,12.936
2.797,22.397,23.145,26.560,23.529,23.436,24.846,21.849
2.805,31.370,35.342,36.723,36.195,32.188,33.646,34.523
2.812,39.438,41.576,42.982,39.460,43.363,37.984,40.977
2.820,41.459,43.112,38.848,43.099,42.391,42.864,39.579
2.828,35.165,35.054,33.274,36.168,35.454,35.923,33.769
2.836,29.197,28.429,27.046,26.800,28.995,29.667,29.858
2.844,23.095,23.131,24.638,24.178,22.456,21.154,24.254
2.852,18.814,22.755,18.556,16.921,18.753,21.568,22.056
2.859,16.288,14.016,17.881,17.779,13.559,17.871,14.475
2.867,8.814,11.436,11.019,12.331,9.283,9.660,12.952
2.875,7.421,6.288,3.152,7.147,4.124,2.864,2.782
2.883,5.577,3.428,3.056,4.909,0.519,3.727,3.791
2.891,8.123,9.313,7.073,7.039,9.240,6.105,7.717
2.898,19.845,17.872,22.513,19.659,19.079,18.730,18.387
2.906,34.853,34.708,32.881,34.150,33.582,30.706,32.661
2.914,41.052,40.400,39.416,38.044,42.148,38.683,39.520
2.922,40.617,42.015,42.556,38.932,40.777,42.779,41.863
2.930,37.927,37.597,38.344,34.024,35.090,36.227,34.971
2.938,33.181,31.555,29.552,33.124,29.873,30.356,32.777
2.945,29.388,29.390,27.933,27.549,28.394,28.035,31.440
2.953,31.433,28.956,29.647,28.484,30.539,29.526,26.298
2.961,28.137,23.546,26.439,24.808,25.392,25.405,27.895
2.969,20.086,25.420,20.926,23.382,23.691,20.645,24.735
2.977,16.861,19.046,19.011,17.020,20.964,17.810,16.994
2.984,18.410,22.541,19.383,22.442,18.210,19.162,19.126
2.992,30.076,27.656,28.505,26.954,27.541,29.696,29.773
3.000,44.354,44.499,40.431,39.869,44.892,43.498,41.090
3.008,55.595,53.849,53.554,53.404,54.090,55.019,55.634
3.016,62.993,62.297,61.523,63.674,63.514,65.044,59.648
3.023,61.513,62.087,60.462,63.579,61.850,61.878,64.847
3.031,61.084,56.618,57.995,60.121,57.469,56.956,58.308
3.039,55.357,55.892,56.578,53.777,56.417,55.878,53.980
3.047,54.593,51.771,50.025,50.567,52.375,52.472,53.945
3.055,51.330,51.675,52.768,51.982,51.095,51.030,49.740
3.062,49.947,47.535,48.892,48.213,51.459,49.533,46.595
3.070,46.118,46.020,45.315,45.795,44.854,43.611,42.408
3.078,42.578,40.175,40.612,39.417,40.755,42.298,41.425
3.086,44.020,43.658,44.268,42.563,38.825,44.617,40.855
3.094,52.884,48.955,48.698,50.925,50.850,50.606,50.129
3.102,64.229,65.125,65.461,60.287,61.380,59.615,63.961
3.109,72.632,72.113,74.307,71.804,73.987,73.782,71.771
3.117,76.625,75.884,77.863,75.737,78.646,77.730,78.199
3.125,72.893,73.726,72.836,74.008,75.699,75.051,74.117
3.133,70.623,70.083,68.395,68.595,67.048,67.302,69.918
3.141,60.246,59.807,63.544,65.098,62.821,63.895,60.693
3.148,59.820,57.970,59.743,60.308,60.161,60.901,60.643
3.156,57.704,53.975,56.627,55.899,54.427,56.591,56.861
3.164,48.136,48.699,48.911,49.820,51.242,52.662,48.150
3.172,45.075,43.705,44.145,41.751,42.648,42.146,44.890
3.180,37.767,36.402,36.055,39.385,39.381,39.162,36.938
3.188,39.174,36.025,41.555,38.239,36.158,38.273,40.241
3.195,45.630,47.813,43.843,44.961,43.376,44.953,44.406
3.203,55.908,55.226,58.474,54.905,56.545,54.396,57.566
3.211,64.430,65.604,64.714,62.379,64.274,62.249,61.756
3.219,62.614,63.779,65.182,66.160,64.435,62.676,61.456
3.227,59.302,57.727,58.907,57.180,56.613,59.570,58.479
3.234,51.334,49.477,50.360,50.749,48.285,52.818,52.640
3.242,43.862,41.405,44.863,43.430,43.514,45.784,43.782
3.250,38.418,41.928,36.911,37.079,40.202,39.175,37.758
3.258,32.201,33.421,33.070,33.061,36.676,35.357,35.686
3.266,25.110,26.155,25.413,26.525,27.682,25.572,23.772
3.273,18.838,17.357,17.383,19.347,21.794,19.259,18.113
3.281,16.243,13.959,15.603,12.870,14.681,15.949,13.035
3.289,18.248,15.885,16.836,15.360,16.155,15.557,18.108
3.297,25.222,25.469,24.524,23.422,23.334,24.468,21.961
3.305,36.056,35.376,32.724,33.333,36.159,36.324,35.728
3.312,40.349,39.744,40.560,43.605,43.712,43.646,40.141
3.320,43.849,40.065,43.007,41.772,40.214,38.719,39.359
3.328,35.762,34.269,33.786,32.463,37.150,35.679,33.621
3.336,31.070,27.146,27.089,29.198,28.715,29.752,30.038
3.344,22.166,20.266,21.190,24.735,21.092,20.219,21.380
3.352,19.823,17.943,20.226,21.299,21.016,18.117,22.207
3.359,17.987,17.319,15.274,16.270,14.275,14.507,13.710
3.367,9.836,9.403,10.379,9.355,9.543,10.368,10.739
3.375,6.766,4.725,6.257,6.395,2.479,6.979,5.413
3.383,5.539,3.807,2.803,5.538,4.342,4.552,0.975
3.391,6.512,10.073,7.071,7.607,9.559,7.878,9.888
